name,slug,county,region,population,zip_code,area_code
Los Angeles,los-angeles,Los Angeles,Southern California,3898747,90012,213
San Diego,san-diego,San Diego,Southern California,1386932,92101,619
San Jose,san-jose,Santa Clara,Bay Area,1013240,95113,408
San Francisco,san-francisco,San Francisco,Bay Area,873965,94102,415
Fresno,fresno,Fresno,Central Valley,544510,93721,559
Sacramento,sacramento,Sacramento,Sacramento Region,524943,95814,916
Long Beach,long-beach,Los Angeles,Southern California,466742,90802,562
Oakland,oakland,Alameda,Bay Area,440646,94612,510
Bakersfield,bakersfield,Kern,Central Valley,383579,93301,661
Anaheim,anaheim,Orange,Southern California,346824,92805,714
Stockton,stockton,San Joaquin,Central Valley,320804,95202,209
Riverside,riverside,Riverside,Southern California,314998,92501,951
Santa Ana,santa-ana,Orange,Southern California,310227,92701,714
Irvine,irvine,Orange,Southern California,307670,92606,949
Chula Vista,chula-vista,San Diego,Southern California,275487,91910,619
Santa Clarita,santa-clarita,Los Angeles,Southern California,228673,91321,661
San Bernardino,san-bernardino,San Bernardino,Southern California,222101,92401,909
Modesto,modesto,Stanislaus,Central Valley,218771,95354,209
Fontana,fontana,San Bernardino,Southern California,214547,92335,909
Fremont,fremont,Alameda,Bay Area,214089,94536,510
Moreno Valley,moreno-valley,Riverside,Southern California,213055,92553,951
Oxnard,oxnard,Ventura,Southern California,202063,93030,805
Huntington Beach,huntington-beach,Orange,Southern California,198711,92648,714
Glendale,glendale,Los Angeles,Southern California,196543,91206,818
Ontario,ontario,San Bernardino,Southern California,185010,91761,909
Santa Rosa,santa-rosa,Sonoma,Bay Area,178127,95401,707
Elk Grove,elk-grove,Sacramento,Sacramento Region,176124,95624,916
Oceanside,oceanside,San Diego,Southern California,174648,92054,760
Rancho Cucamonga,rancho-cucamonga,San Bernardino,Southern California,174453,91730,909
Lancaster,lancaster,Los Angeles,Southern California,173516,93534,661
Garden Grove,garden-grove,Orange,Southern California,171949,92840,714
Corona,corona,Riverside,Southern California,169868,92879,951
Palmdale,palmdale,Los Angeles,Southern California,169450,93550,661
Sunnyvale,sunnyvale,Santa Clara,Bay Area,155805,94086,408
Pomona,pomona,Los Angeles,Southern California,151713,91766,909
Escondido,escondido,San Diego,Southern California,151038,92025,760
Salinas,salinas,Monterey,Central Coast,150441,93901,831
Roseville,roseville,Placer,Sacramento Region,147773,95678,916
Torrance,torrance,Los Angeles,Southern California,147067,90501,310
Hayward,hayward,Alameda,Bay Area,144186,94541,510
Fullerton,fullerton,Orange,Southern California,143617,92832,714
Visalia,visalia,Tulare,Central Valley,141384,93291,559
Orange,orange,Orange,Southern California,139911,92866,714
Pasadena,pasadena,Los Angeles,Southern California,138699,91101,626
Victorville,victorville,San Bernardino,Southern California,134810,92392,760
Concord,concord,Contra Costa,Bay Area,129295,94520,925
Santa Clara,santa-clara,Santa Clara,Bay Area,127647,95050,408
Thousand Oaks,thousand-oaks,Ventura,Southern California,126966,91360,805
Simi Valley,simi-valley,Ventura,Southern California,126356,93065,805
Vallejo,vallejo,Solano,Bay Area,126090,94590,707
Berkeley,berkeley,Alameda,Bay Area,124321,94704,510
Fairfield,fairfield,Solano,Bay Area,119881,94533,707
Richmond,richmond,Contra Costa,Bay Area,116448,94801,510
Murrieta,murrieta,Riverside,Southern California,116223,92562,951
Antioch,antioch,Contra Costa,Bay Area,115291,94509,925
Carlsbad,carlsbad,San Diego,Southern California,114746,92008,760
Downey,downey,Los Angeles,Southern California,114355,90241,562
Costa Mesa,costa-mesa,Orange,Southern California,111918,92626,714
Temecula,temecula,Riverside,Southern California,110003,92590,951
West Covina,west-covina,Los Angeles,Southern California,109501,91790,626
El Monte,el-monte,Los Angeles,Southern California,109450,91731,626
Inglewood,inglewood,Los Angeles,Southern California,107762,90301,310
Burbank,burbank,Los Angeles,Southern California,107337,91502,818
Ventura,ventura,Ventura,Southern California,106433,93001,805
El Cajon,el-cajon,San Diego,Southern California,106215,92020,619
San Mateo,san-mateo,San Mateo,Bay Area,105661,94401,650
Jurupa Valley,jurupa-valley,Riverside,Southern California,105053,92509,951
Daly City,daly-city,San Mateo,Bay Area,104901,94014,650
Rialto,rialto,San Bernardino,Southern California,104026,92376,909
Norwalk,norwalk,Los Angeles,Southern California,102773,90650,562
Menifee,menifee,Riverside,Southern California,102527,92584,951
Hesperia,hesperia,San Bernardino,Southern California,99818,92345,760
Santa Maria,santa-maria,Santa Barbara,Southern California,99553,93454,805
Vista,vista,San Diego,Southern California,98381,92081,760
Compton,compton,Los Angeles,Southern California,96455,90220,323
Clovis,clovis,Fresno,Central Valley,95631,93611,559
San Marcos,san-marcos,San Diego,Southern California,94833,92069,760
South Gate,south-gate,Los Angeles,Southern California,94396,90280,323
Mission Viejo,mission-viejo,Orange,Southern California,93653,92691,949
Vacaville,vacaville,Solano,Bay Area,92428,95687,707
Carson,carson,Los Angeles,Southern California,91714,90745,310
Chino,chino,San Bernardino,Southern California,91403,91710,909
Westminster,westminster,Orange,Southern California,90911,92683,714
Redding,redding,Shasta,North State,89861,96001,530
Hemet,hemet,Riverside,Southern California,89833,92543,951
Santa Monica,santa-monica,Los Angeles,Southern California,89736,90401,310
Indio,indio,Riverside,Southern California,89137,92201,760
Santa Barbara,santa-barbara,Santa Barbara,Southern California,88410,93101,805
Chico,chico,Butte,North State,86187,95926,530
Lake Forest,lake-forest,Orange,Southern California,85858,92630,949
Whittier,whittier,Los Angeles,Southern California,85331,90601,562
Newport Beach,newport-beach,Orange,Southern California,85239,92660,949
San Leandro,san-leandro,Alameda,Bay Area,84950,94577,510
Hawthorne,hawthorne,Los Angeles,Southern California,84293,90250,310
Redwood City,redwood-city,San Mateo,Bay Area,84292,94061,650
Milpitas,milpitas,Santa Clara,Bay Area,84196,95035,408
Buena Park,buena-park,Orange,Southern California,84034,90620,714
Citrus Heights,citrus-heights,Sacramento,Sacramento Region,83265,95610,916
Tracy,tracy,San Joaquin,Central Valley,82922,95376,209
Alhambra,alhambra,Los Angeles,Southern California,82868,91801,626
Mountain View,mountain-view,Santa Clara,Bay Area,82376,94040,650
Livermore,livermore,Alameda,Bay Area,80968,94550,510
Lakewood,lakewood,Los Angeles,Southern California,80048,90712,562
Tustin,tustin,Orange,Southern California,79348,92780,714
Upland,upland,San Bernardino,Southern California,79040,91786,909
Merced,merced,Merced,Central Valley,78958,95340,209
Perris,perris,Riverside,Southern California,78700,92570,951
Chino Hills,chino-hills,San Bernardino,Southern California,78411,91709,909
Napa,napa,Napa,Bay Area,76915,94558,707
Bellflower,bellflower,Los Angeles,Southern California,76616,90706,562
Apple Valley,apple-valley,San Bernardino,Southern California,75791,92307,760
Baldwin Park,baldwin-park,Los Angeles,Southern California,75390,91706,626
Alameda,alameda,Alameda,Bay Area,73812,94501,510
Redlands,redlands,San Bernardino,Southern California,73168,92373,909
Folsom,folsom,Sacramento,Sacramento Region,72203,95630,916
San Ramon,san-ramon,Contra Costa,Bay Area,72148,94582,925
Pleasanton,pleasanton,Alameda,Bay Area,70285,94566,510
Lake Elsinore,lake-elsinore,Riverside,Southern California,70265,92530,951
Lynwood,lynwood,Los Angeles,Southern California,69772,90262,323
Eastvale,eastvale,Riverside,Southern California,69757,92880,951
Union City,union-city,Alameda,Bay Area,69516,94587,510
Palo Alto,palo-alto,Santa Clara,Bay Area,68572,94301,650
Turlock,turlock,Stanislaus,Central Valley,68549,95380,209
Yorba Linda,yorba-linda,Orange,Southern California,68336,92886,714
Manteca,manteca,San Joaquin,Central Valley,67096,95336,209
Redondo Beach,redondo-beach,Los Angeles,Southern California,66747,90277,310
Camarillo,camarillo,Ventura,Southern California,65201,93010,805
Yuba City,yuba-city,Sutter,Sacramento Region,64925,95991,530
Rancho Cordova,rancho-cordova,Sacramento,Sacramento Region,64776,95670,916
Davis,davis,Yolo,Sacramento Region,64776,95616,530
Walnut Creek,walnut-creek,Contra Costa,Bay Area,64173,94596,925
South San Francisco,south-san-francisco,San Mateo,Bay Area,63632,94080,650
San Clemente,san-clemente,Orange,Southern California,63522,92672,714
Pittsburg,pittsburg,Contra Costa,Bay Area,63264,94565,925
Laguna Niguel,laguna-niguel,Orange,Southern California,62967,92677,714
Pico Rivera,pico-rivera,Los Angeles,Southern California,62942,90660,562
Montebello,montebello,Los Angeles,Southern California,62500,90640,323
Lodi,lodi,San Joaquin,Central Valley,62134,95240,209
Encinitas,encinitas,San Diego,Southern California,62007,92024,760
Madera,madera,Madera,Central Valley,61416,93637,559
La Mesa,la-mesa,San Diego,Southern California,61121,91942,619
Monterey Park,monterey-park,Los Angeles,Southern California,60269,91754,626
La Habra,la-habra,Orange,Southern California,60239,90631,714
Cupertino,cupertino,Santa Clara,Bay Area,60170,95014,408
Santee,santee,San Diego,Southern California,60037,92071,619
Tulare,tulare,Tulare,Central Valley,59278,93274,559
Gardena,gardena,Los Angeles,Southern California,58829,90247,310
Huntington Park,huntington-park,Los Angeles,Southern California,58114,90255,323
Rocklin,rocklin,Placer,Sacramento Region,57303,95677,916
San Rafael,san-rafael,Marin,Bay Area,57074,94901,415
Highland,highland,San Bernardino,Southern California,56999,92346,909
Arcadia,arcadia,Los Angeles,Southern California,56364,91006,626
National City,national-city,San Diego,Southern California,56173,91950,619
Diamond Bar,diamond-bar,Los Angeles,Southern California,55544,91765,626
Woodland,woodland,Yolo,Sacramento Region,55468,95695,530
Fountain Valley,fountain-valley,Orange,Southern California,54978,92708,714
Petaluma,petaluma,Sonoma,Bay Area,54548,94952,707
Paramount,paramount,Los Angeles,Southern California,54098,90723,323
Porterville,porterville,Tulare,Central Valley,54088,93257,559
Hanford,hanford,Kings,Central Valley,53967,93230,559
Colton,colton,San Bernardino,Southern California,53909,92324,909
San Jacinto,san-jacinto,Riverside,Southern California,53898,92583,951
Rosemead,rosemead,Los Angeles,Southern California,53764,91770,626
Delano,delano,Kern,Central Valley,53041,93215,661
Novato,novato,Marin,Bay Area,51904,94945,415
Brentwood,brentwood,Contra Costa,Bay Area,51532,94513,925
Cathedral City,cathedral-city,Riverside,Southern California,51493,92234,760
Yucaipa,yucaipa,San Bernardino,Southern California,51367,92399,909
Palm Desert,palm-desert,Riverside,Southern California,51163,92260,760
Placentia,placentia,Orange,Southern California,50533,92870,714
Glendora,glendora,Los Angeles,Southern California,50073,91740,626
Cerritos,cerritos,Los Angeles,Southern California,49041,90703,562
Poway,poway,San Diego,Southern California,48841,92064,858
Gilroy,gilroy,Santa Clara,Bay Area,48821,95020,408
West Sacramento,west-sacramento,Yolo,Sacramento Region,48744,95691,530
La Mirada,la-mirada,Los Angeles,Southern California,48527,90638,562
Rancho Santa Margarita,rancho-santa-margarita,Orange,Southern California,47853,92688,714
Aliso Viejo,aliso-viejo,Orange,Southern California,47823,92656,714
Cypress,cypress,Orange,Southern California,47802,90630,714
Covina,covina,Los Angeles,Southern California,47796,91722,626
Azusa,azusa,Los Angeles,Southern California,46361,91702,626
Dublin,dublin,Alameda,Bay Area,46036,94568,510
Ceres,ceres,Stanislaus,Central Valley,45417,95307,209
